"Rank","Relative Value","Player","Position Rank","Team","FF Pts","BYE","ADP"
"58","14","Drake London","WR-20","ATL","9.5","11","8.06"
"59","13","DeAndre Hopkins","WR-21","TEN","9.4","7","5.07"
"60","13","Mike Williams","WR-22","LAC","9.4","5","7.03"
"61","13","Amari Cooper","WR-23","CLE","9.4","5","4.10"
"62","13","DK Metcalf","WR-24","SEA","9.4","5","3.05"
"63","13","J.K. Dobbins","RB-25","BAL","10.0","13","9.01"
"64","12","Kyle Pitts","TE-9","ATL","7.2","11","6.08"
"65","12","James Conner","RB-26","ARI","9.9","14","6.07"
"66","12","Terry McLaurin","WR-25","WAS","9.3","14","7.06"
"67","7","Diontae Johnson","WR-26","PIT","9.0","6","6.04"
"68","5","Khalil Herbert","RB-27","CHI","9.6","13","10.02"
"69","4","Brandon Aiyuk","WR-27","SF","8.9","9","8.02"
"70","3","Isiah Pacheco","RB-28","KC","9.4","10","7.09"
"71","3","Javonte Williams","RB-29","DEN","9.4","9","8.01"
"72","0","D.J. Moore","WR-28","CHI","8.7","13","6.05"
"73","0","Chris Godwin","WR-29","TB","8.7","5","6.06"
"74","0","Justin Herbert","QB-7","LAC","17.7","5","5.01"
"75","0","Jonathan Taylor","RB-30","IND","9.2","11","5.05"
"76","0","David Njoku","TE-10","CLE","6.5","5","9.10"
"77","0","Jordan Addison","WR-30","MIN","8.7","13","11.01"
"78","-1","Jahan Dotson","WR-31","WAS","8.6","14","10.04"
"79","-1","Trevor Lawrence","QB-8","JAX","17.7","9","7.01"
"80","-2","Michael Pittman Jr.","WR-32","IND","8.5","11","9.07"
"81","-3","Gabe Davis","WR-33","BUF","8.5","13","12.06"
"82","-5","Mike Evans","WR-34","TB","8.4","5","7.05"
"83","-6","Christian Kirk","WR-35","JAX","8.3","9","9.04"
"84","-6","Dalton Schultz","TE-11","HOU","6.1","7","12.08"
"85","-8","Brandin Cooks","WR-36","DAL","8.2","7","9.08"
"86","-8","Zay Flowers","WR-37","BAL","8.2","13","11.09"
"87","-9","Marquise Brown","WR-38","ARI","8.1","14","8.10"
"88","-9","Tyler Higbee","TE-12","LAR","5.9","10","12.10"
"89","-10","George Pickens","WR-39","PIT","8.1","6","8.07"
"90","-11","Jaxon Smith-Njigba","WR-40","SEA","8.0","5","10.08"
"91","-11","Chigoziem Okonkwo","TE-13","TEN","5.8","7","17.02"
"92","-11","Geno Smith","QB-9","SEA","17.1","5","13.02"
"93","-12","A.J. Dillon","RB-31","GB","8.5","6","10.06"
"94","-12","Michael Thomas","WR-41","NO","7.9","11","11.04"
"95","-12","Daniel Jones","QB-10","NYG","17.0","13","12.05"
"96","-13","Sam LaPorta","TE-14","DET","5.7","9","17.10"
"97","-13","Skyy Moore","WR-42","KC","7.9","10","10.09"
"98","-14","Zay Jones","WR-43","JAX","7.9","9","18.06"
"99","-14","Gerald Everett","TE-15","LAC","5.6","5","16.10"
"100","-14","Courtland Sutton","WR-44","DEN","7.8","9","10.01"
"101","-14","Dalton Kincaid","TE-16","BUF","5.6","13","14.02"
"102","-14","Jake Ferguson","TE-17","DAL","5.6","7","21.04"
"103","-15","JuJu Smith-Schuster","WR-45","NE","7.8","11","12.04"
"104","-15","D'Andre Swift","RB-32","PHI","8.4","10","9.05"
"105","-15","Juwan Johnson","TE-18","NO","5.6","11","18.07"
"106","-16","Jakobi Meyers","WR-46","LV","7.7","13","12.07"
"107","-16","Greg Dulcich","TE-19","DEN","5.5","9","18.04"
"108","-16","Brian Robinson","RB-33","WAS","8.3","14","10.10"
"109","-17","Jerry Jeudy","WR-47","DEN","7.7","9","8.03"
"110","-17","Cole Kmet","TE-20","CHI","5.5","13","11.05"
"111","-17","Dalvin Cook","RB-34","NYJ","8.2","7","8.08"
"112","-17","Raheem Mostert","RB-35","MIA","8.2","10","15.06"
"113","-19","Samaje Perine","RB-36","DEN","8.1","9","13.01"
"114","-19","Jerick McKinnon","RB-37","KC","8.1","10","13.06"
"115","-19","Marvin Mims","WR-48","DEN","7.5","9","--"
"116","-22","Jayden Reed","WR-49","GB","7.4","6","--"
"117","-22","Nico Collins","WR-50","HOU","7.4","7","15.07"
"118","-22","Isaiah Hodgins","WR-51","NYG","7.3","13","--"
"119","-23","Romeo Doubs","WR-52","GB","7.3","6","19.07"
"120","-23","Anthony Richardson","QB-11","IND","16.4","11","13.04"
"121","-24","Elijah Moore","WR-53","CLE","7.3","5","15.04"
"122","-24","Rashod Bateman","WR-54","BAL","7.2","13","20.06"
"123","-26","Kenneth Gainwell","RB-38","PHI","7.7","10","20.01"
"124","-26","Allen Lazard","WR-55","NYJ","7.1","7","16.09"
"125","-26","Ezekiel Elliott","RB-39","NE","7.7","11","13.09"
"126","-26","Jaylen Warren","RB-40","PIT","7.7","6","16.03"
"127","-27","Odell Beckham","WR-56","BAL","7.1","13","11.03"
"128","-27","Jonathan Mingo","WR-57","CAR","7.1","7","21.09"
"129","-28","Treylon Burks","WR-58","TEN","7.0","7","12.09"
"130","-28","Antonio Gibson","RB-41","WAS","7.6","14","11.08"
"131","-28","Kirk Cousins","QB-12","MIN","16.1","13","9.06"
"132","-29","Van Jefferson","WR-59","LAR","7.0","10","--"
"133","-29","Tyler Boyd","WR-60","CIN","6.9","7","16.01"
"134","-29","Michael Gallup","WR-61","DAL","6.9","7","15.05"
"135","-30","Kadarius Toney","WR-62","KC","6.9","10","16.06"
"136","-30","Zach Charbonnet","RB-42","SEA","7.5","5","14.06"
"137","-32","Mecole Hardman","WR-63","NYJ","6.8","7","--"
"138","-32","Tank Dell","WR-64","HOU","6.8","7","24.09"
"139","-32","Tua Tagovailoa","QB-13","MIA","15.9","10","11.02"
"140","-32","Rashid Shaheed","WR-65","NO","6.7","11","--"
"141","-33","Darius Slayton","WR-66","NYG","6.7","13","--"
"142","-34","Curtis Samuel","WR-67","WAS","6.7","14","--"
"143","-35","K.J. Osborn","WR-68","MIN","6.6","13","17.09"
"144","-35","Rondale Moore","WR-69","ARI","6.6","14","13.10"
"145","-37","DeVante Parker","WR-70","NE","6.5","11","--"
"146","-38","Jamaal Williams","RB-43","NO","7.0","11","12.03"
"147","-38","Aaron Rodgers","QB-14","NYJ","15.5","7","10.03"
"148","-38","Adam Thielen","WR-71","CAR","6.4","7","14.05"
"149","-38","Quentin Johnston","WR-72","LAC","6.4","5","13.05"
"150","-38","Elijah Mitchell","RB-44","SF","7.0","9","15.09"
"151","-40","Donovan Peoples-Jones","WR-73","CLE","6.3","5","--"
"152","-41","Tyler Allgeier","RB-45","ATL","6.8","11","16.08"
"153","-41","Michael Wilson","WR-74","ARI","6.2","14","--"
"154","-44","Chuba Hubbard","RB-46","CAR","6.6","7","--"
"155","-45","Dak Prescott","QB-15","DAL","15.1","7","9.09"
"156","-46","D.J. Chark","WR-75","CAR","6.0","7","15.10"
"157","-46","Marquez Valdes-Scantling","WR-76","KC","6.0","10","20.09"
"158","-47","Josh Reynolds","WR-77","DET","5.9","9","--"
"159","-47","Darnell Mooney","WR-78","CHI","5.9","13","14.10"
"160","-48","Deshaun Watson","QB-16","CLE","15.0","5","7.07"
"161","-49","Russell Wilson","QB-17","DEN","14.9","9","14.07"
"162","-49","Tutu Atwell","WR-79","LAR","5.8","10","--"
"163","-49","Jared Goff","QB-18","DET","14.8","9","16.04"
"164","-50","Tank Bigsby","RB-47","JAX","6.3","9","18.01"
"165","-53","Sam Howell","QB-19","WAS","14.6","14","20.10"
"166","-58","Jordan Love","QB-20","GB","14.3","6","18.08"
"167","-60","Devon Achane","RB-48","MIA","5.7","10","19.10"
"168","-60","Hunter Renfrow","WR-80","LV","5.1","13","20.04"
"169","-60","Damien Harris","RB-49","BUF","5.7","13","19.01"
"170","-60","Kendrick Bourne","WR-81","NE","5.1","11","--"
"171","-61","Jameson Williams","WR-82","DET","5.1","9","20.02"
"172","-61","Brock Purdy","QB-21","SF","14.2","9","17.03"
"173","-61","Jauan Jennings","WR-83","SF","5.1","9","--"
"174","-62","Josh Palmer","WR-84","LAC","5.0","5","--"
"175","-63","Braxton Berrios","WR-85","MIA","5.0","10","--"
"176","-64","Alec Pierce","WR-86","IND","4.9","11","--"
"177","-65","Jeff Wilson","RB-50","MIA","5.4","10","14.09"
"178","-66","Deonte Harty","WR-87","BUF","4.7","13","--"
"179","-69","Robert Woods","WR-88","HOU","4.6","7","--"
"180","-70","Trenton Irwin","WR-89","CIN","4.6","7","--"
"181","-70","Mack Hollins","WR-90","ATL","4.5","11","--"
"182","-70","Tyjae Spears","RB-51","TEN","5.1","7","--"
"183","-71","Puka Nacua","WR-91","LAR","4.5","10","--"
"184","-72","Jamal Agnew","WR-92","JAX","4.4","9","--"
"185","-73","Ryan Tannehill","QB-22","TEN","13.4","7","22.08"
"186","-76","Kyle Philips","WR-93","TEN","4.2","7","--"
"187","-76","C.J. Stroud","QB-23","HOU","13.3","7","20.07"
"188","-76","Roschon Johnson","RB-52","CHI","4.8","13","19.02"
"189","-78","Bryce Young","QB-24","CAR","13.2","7","18.05"
"190","-78","Rashee Rice","WR-94","KC","4.1","10","--"
"191","-78","Gus Edwards","RB-53","BAL","4.6","13","21.03"
"192","-79","Joshua Kelley","RB-54","LAC","4.6","5","--"
"193","-79","Josh Downs","WR-95","IND","4.0","11","--"
"194","-79","Deven Thompkins","WR-96","TB","4.0","5","--"
"195","-81","Tyquan Thornton","WR-97","NE","3.9","11","--"
"196","-81","Kenny Pickett","QB-25","PIT","13.0","6","16.05"
"197","-81","Rico Dowdle","RB-55","DAL","4.5","7","--"
"198","-82","Ty Chandler","RB-56","MIN","4.4","13","--"
"199","-82","Chris Moore","WR-98","TEN","3.8","7","--"
"200","-83","Randall Cobb","WR-99","NYJ","3.8","7","--"
